Sl. No.,NT,THT,THt,THQCr,CT,Ct,DT,Dt,QmT,TT,Tt,TCr,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RedRatio,dA,dB,dC,Fatigue
1,885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.21,0.44,0.017,0.022,0.01,0.02,0.01,0,825,0.07,0.02,0.04,232
2,885,30,0,0,30,0,30,0,30,30,0,0,0.25,0.18,0.44,0.009,0.017,0.08,0.12,0.08,0,610,0.11,0,0.04,235
3,885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.27,0.43,0.008,0.015,0.02,0.03,0.01,0,1270,0.07,0.02,0,235
4,885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.23,0.51,0.018,0.024,0.01,0.02,0.01,0,1740,0.06,0,0,241
5,885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.19,0.42,0.026,0.022,0.01,0.02,0.02,0,825,0.04,0.02,0,225
6,885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.22,0.45,0.026,0.026,0.02,0.05,0.03,0,825,0.06,0.02,0.02,245
7,885,30,0,0,30,0,30,0,30,30,0,0,0.28,0.27,0.5,0.021,0.018,0.02,0.03,0.01,0,1270,0.08,0.01,0,255
8,885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.25,0.54,0.02,0.021,0.01,0.02,0.02,0,1740,0.07,0,0,245
9,885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.23,0.37,0.008,0.03,0.06,0.1,0.09,0,610,0.08,0,0.04,275
10,885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.26,0.47,0.021,0.023,0.02,0.02,0.01,0,1270,0.04,0.03,0,239
11,885,30,0,0,30,0,30,0,30,30,0,0,0.23,0.26,0.51,0.029,0.024,0.01,0.03,0.03,0,1740,0.11,0,0,255
12,865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,825,0.05,0.03,0,397
13,865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1270,0.07,0.02,0,419
14,865,865,30,24,30,0,30,0,30,550,60,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1740,0.08,0,0,401
15,865,865,30,24,30,0,30,0,30,550,60,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,610,0.07,0,0.03,394
16,865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,825,0.08,0,0,426
17,865,865,30,24,30,0,30,0,30,550,60,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,610,0.06,0.01,0.01,426
18,865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1270,0.08,0.02,0,454
19,865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1740,0.06,0,0,418
20,865,865,30,24,30,0,30,0,30,550,60,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1270,0.13,0.01,0,416
21,865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,825,0.07,0.04,0,395
22,865,865,30,24,30,0,30,0,30,550,60,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1740,0.1,0,0,433
23,865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,610,0.06,0.05,0.03,379
24,865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,825,0.05,0.03,0,382
25,865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1270,0.07,0.02,0,385
26,865,865,30,24,30,0,30,0,30,600,60,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1740,0.08,0,0,365
27,865,865,30,24,30,0,30,0,30,600,60,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,610,0.07,0,0.03,379
28,865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,825,0.08,0,0,377
29,865,865,30,24,30,0,30,0,30,600,60,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,610,0.06,0.01,0.01,394
30,865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1270,0.08,0.02,0,425
31,865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1740,0.06,0,0,395
32,865,865,30,24,30,0,30,0,30,600,60,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1270,0.13,0.01,0,393
33,865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,825,0.07,0.04,0,375
34,865,865,30,24,30,0,30,0,30,600,60,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1740,0.1,0,0,389
35,865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,610,0.06,0.05,0.03,358
36,865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.21,0.77,0.021,0.022,0.01,0.01,0.02,0,825,0.05,0.03,0,344
37,865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.3,0.74,0.017,0.024,0.01,0.1,0.01,0,1270,0.07,0.02,0,369
38,865,865,30,24,30,0,30,0,30,650,60,24,0.34,0.26,0.74,0.012,0.015,0.01,0.02,0.01,0,1740,0.08,0,0,325
39,865,865,30,24,30,0,30,0,30,650,60,24,0.36,0.26,0.7,0.009,0.023,0.08,0.12,0.09,0,610,0.07,0,0.03,338
40,865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,825,0.08,0,0,362
41,865,865,30,24,30,0,30,0,30,650,60,24,0.38,0.29,0.7,0.01,0.03,0.06,0.09,0.11,0,610,0.06,0.01,0.01,361
42,865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.26,0.76,0.023,0.013,0.01,0.1,0.03,0,1270,0.08,0.02,0,385
43,865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,1740,0.06,0,0,348
44,865,865,30,24,30,0,30,0,30,650,60,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1270,0.13,0.01,0,368
45,865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.25,0.82,0.016,0.023,0.03,0.01,0.01,0,825,0.07,0.04,0,341
46,865,865,30,24,30,0,30,0,30,650,60,24,0.37,0.24,0.72,0.015,0.02,0.02,0.02,0.02,0,1740,0.1,0,0,365
47,865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,610,0.06,0.05,0.03,325
48,845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,1740,0.07,0,0,513
49,845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1270,0.12,0.01,0,448
50,845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,610,0.06,0,0.01,465
51,845,845,30,24,30,0,30,0,30,550,60,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,825,0.1,0.03,0.01,446
52,845,845,30,24,30,0,30,0,30,550,60,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,825,0.11,0.04,0,437
53,845,845,30,24,30,0,30,0,30,550,60,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,1740,0.08,0,0,502
54,845,845,30,24,30,0,30,0,30,550,60,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,610,0.04,0,0.03,465
55,845,845,30,24,30,0,30,0,30,550,60,24,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,1740,0.06,0,0,475
56,845,845,30,24,30,0,30,0,30,550,60,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,1270,0.13,0.01,0,504
57,845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,610,0.09,0,0.04,486
58,845,845,30,24,30,0,30,0,30,550,60,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,1270,0.04,0.01,0,452
59,845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.25,0.79,0.018,0.016,0.02,0.13,0.02,0,1740,0.07,0,0,459
60,845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.26,0.76,0.027,0.019,0.01,0.11,0.02,0,1270,0.12,0.01,0,415
61,845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.24,0.71,0.01,0.009,0.12,0.06,0.13,0,610,0.06,0,0.01,437
62,845,845,30,24,30,0,30,0,30,600,60,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,825,0.1,0.03,0.01,415
63,845,845,30,24,30,0,30,0,30,600,60,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,825,0.11,0.04,0,401
64,845,845,30,24,30,0,30,0,30,600,60,24,0.48,0.25,0.75,0.024,0.022,0.02,0.1,0.01,0,1740,0.08,0,0,463
65,845,845,30,24,30,0,30,0,30,600,60,24,0.47,0.25,0.72,0.015,0.01,0.13,0.04,0.04,0,610,0.04,0,0.03,442
66,845,845,30,24,30,0,30,0,30,600,60,24,0.43,0.22,0.83,0.017,0.016,0.01,0.12,0.01,0,1740,0.06,0,0,438
67,845,845,30,24,30,0,30,0,30,600,60,24,0.49,0.26,0.8,0.027,0.023,0.02,0.09,0.01,0,1270,0.13,0.01,0,468
68,845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.25,0.79,0.011,0.025,0.12,0.04,0.15,0,610,0.09,0,0.04,452
69,845,845,30,24,30,0,30,0,30,600,60,24,0.42,0.26,0.7,0.024,0.01,0.01,0.1,0.01,0,1270,0.04,0.01,0,422
